repo,path,file,ext,code_length,comment_length,number_of_comments,total_smiley_faces,frown,smiley_1,smiley_2,smiley_3,smiley_4,smiley_5,smiley_6,smiley_7
angular.js,/,protractor-shared-conf.js,.js,536,136,3,0,0,0,0,0,0,0,0,0
angular.js,/,protractor-travis-conf.js,.js,715,0,0,0,0,0,0,0,0,0,0,0
angular.js,/scripts/,clean-shrinkwrap.js,.js,939,306,4,0,0,0,0,0,0,0,0,0
angular.js,/src/,AngularPublic.js,.js,4110,2384,5,0,0,0,0,0,0,0,0,0
angular.js,/src/,apis.js,.js,696,777,6,0,0,0,0,0,0,0,0,0
angular.js,/src/,Angular.js,.js,19438,19651,81,0,0,0,0,0,0,0,0,0
angular.js,/src/auto/,injector.js,.js,12342,14344,52,0,0,0,0,0,0,0,0,0
angular.js,/src/,jqLite.js,.js,25129,5058,119,0,0,0,0,0,0,0,0,0
angular.js,/src/,loader.js,.js,4183,6777,27,0,0,0,0,0,0,0,0,0
angular.js,/src/,minErr.js,.js,1391,1304,2,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,anchorScroll.js,.js,2064,994,14,1,0,0,0,1,0,0,0,0
angular.js,/src/ng/,animate.js,.js,2552,6957,14,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,cacheFactory.js,.js,5299,6079,15,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,browser.js,.js,5618,6603,43,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,asyncCallback.js,.js,264,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,controller.js,.js,1371,1682,3,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,a.js,.js,716,896,9,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,directives.js,.js,213,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,booleanAttrs.js,.js,4938,9610,23,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,compile.js,.js,63580,20144,169,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,form.js,.js,6803,7947,26,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngBind.js,.js,1106,5492,7,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngController.js,.js,134,7707,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngClass.js,.js,3679,8717,4,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngCloak.js,.js,172,2314,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,input.js,.js,30765,55851,105,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngCsp.js,.js,1280,421,4,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngIf.js,.js,3606,1265,4,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngEventDirs.js,.js,776,10767,18,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngInclude.js,.js,6889,2044,19,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngInit.js,.js,209,1879,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngNonBindable.js,.js,94,1093,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngPluralize.js,.js,8997,703,5,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngStyle.js,.js,355,1303,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngRepeat.js,.js,6922,9839,30,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngShowHide.js,.js,7157,5247,7,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngSwitch.js,.js,2561,4752,2,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngTransclude.js,.js,497,1866,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,script.js,.js,372,1382,2,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,style.js,.js,85,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,document.js,.js,134,655,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,select.js,.js,21434,3807,60,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,exceptionHandler.js,.js,191,1064,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/filter/,filter.js,.js,2900,4962,4,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/filter/,limitTo.js,.js,713,3124,3,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/filter/,filters.js,.js,7991,8879,17,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,filter.js,.js,1887,1856,11,1,0,0,0,0,0,1,0,0
angular.js,/src/ng/filter/,orderBy.js,.js,1843,2403,1,1,0,0,0,0,0,1,0,0
angular.js,/src/ng/,httpBackend.js,.js,4463,2392,30,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,http.js,.js,31564,7172,66,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,interpolate.js,.js,4918,3023,19,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,interval.js,.js,3981,3101,12,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,locale.js,.js,1549,300,3,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,location.js,.js,11508,7834,46,1,0,0,0,0,0,1,0,0
angular.js,/src/ng/,log.js,.js,1652,2397,12,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,parse.js,.js,30288,7791,69,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,raf.js,.js,1043,22,2,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,q.js,.js,13253,3899,27,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,rootElement.js,.js,18,506,2,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_eu.js,.js,1967,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fa-af.js,.js,2952,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fi.js,.js,2092,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fa-ir.js,.js,3048,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fi-fi.js,.js,2095,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fa.js,.js,3045,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fil-ph.js,.js,1927,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fil.js,.js,1924,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-be.js,.js,1996,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-bf.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-bi.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-bj.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-bl.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-ca.js,.js,1999,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-cg.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-cd.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-ch.js,.js,1999,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-cf.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-ci.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-cm.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-dj.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-fr.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-ga.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-gf.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-gn.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-gp.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-gq.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-km.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-lu.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-mc.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-mf.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-mg.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-ml.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-mq.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-ne.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-re.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr-yt.js,.js,1998,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_fr.js,.js,1995,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_gl-es.js,.js,1946,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_gl.js,.js,1943,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_gsw-ch.js,.js,1989,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_gsw.js,.js,1986,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_gu-in.js,.js,2951,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_gu.js,.js,2948,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_he-il.js,.js,2931,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_he.js,.js,2928,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_hi-in.js,.js,2969,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_hi.js,.js,2966,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_hr-hr.js,.js,2259,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_hr.js,.js,2256,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_hu-hu.js,.js,2010,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_hu.js,.js,2007,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_id-id.js,.js,1863,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_id.js,.js,1860,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_in.js,.js,1860,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_is-is.js,.js,2075,0,0,0,0,0,0,0,0,0,0,0
